SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActVelo.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetVelo.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetAcc.x
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

1220	-0,065593902428886727	1220	119,99682176762909	1220	-0,59166922724080229	1220	120	1220	-0,057197011116605245	1220	0	1220	0
1230	-0,058767858462244776	1230	119,99840596608964	1230	0,54224296027967367	1230	120	1230	-0,057197011116605245	1230	0	1230	0
1240	-0,062996454082127631	1240	119,99745149963917	1240	-0,39167761269007417	1240	120	1240	-0,057197011116605245	1240	0	1240	0
1250	-0,056441407447300827	1250	119,99800320736595	1250	0,95581195215650716	1250	120	1250	-0,057197011116605245	1250	0	1250	0
1260	-0,06209252862815709	1260	120,00143466357193	1260	-0,2958571996542152	1260	120	1260	-0,057197011116605245	1260	0	1260	0
1270	-0,064804188082760353	1270	120,00193706266853	1270	-0,58094900969313179	1270	120	1270	-0,057197011116605245	1270	0	1270	0
1280	-0,058983615096664874	1280	120,00251129858461	1280	0,11172026099722168	1280	120	1280	-0,057197011116605245	1280	0	1280	0
1290	-0,057682507277729174	1290	120,00348414404427	1290	0,40678073261509784	1290	120	1290	-0,057197011116605245	1290	0	1290	0
1300	-0,051826380118758376	1300	120,00209465967126	1300	-0,13918929592434598	1300	120	1300	-0,057197011116605245	1300	0	1300	0
1310	-0,0699942153720164	1310	119,99526862175576	1310	-0,31833054229846042	1310	120	1310	-0,057197011116605245	1310	0	1310	0
1320	-0,05384132920522354	1320	119,99925181690216	1320	0,96763056220657484	1320	120	1320	-0,057197011116605245	1320	0	1320	0
1330	-0,070472030186027379	1330	120,00014980958264	1330	-0,6824026673390502	1330	120	1330	-0,057197011116605245	1330	0	1330	0
1340	-0,050389028860226094	1340	119,99974870626481	1340	0,680459938864417	1340	120	1340	-0,057197011116605245	1340	0	1340	0
1350	-0,0586648300720176	1350	119,99702200169614	1350	0,37883927138535212	1350	120	1350	-0,057197011116605245	1350	0	1350	0
1360	-0,060527098891690986	1360	119,99910687365632	1360	0,22776118010232102	1360	120	1360	-0,057197011116605245	1360	0	1360	0
1370	-0,056494995945284288	1370	119,99953654221358	1370	0,26664956884872193	1370	120	1370	-0,057197011116605245	1370	0	1370	0
1380	-0,067700816909119652	1380	120,00023869453138	1380	-0,058163137653592933	1380	120	1380	-0,057197011116605245	1380	0	1380	0
1390	-0,066097912370295039	1390	120,00161110454792	1390	-0,47012891951626146	1390	120	1390	-0,057197011116605245	1390	0	1390	0
