Name	YT Scope Project	
File	C:\Users\Administrator\Documents\TcXaeShell\TwinCAT_260713\ScopeLog\2026-08-20_Scope_1000to2000mms_B.csv	
Starttime of export	134316857329540000	Thursday, August 20, 2026	16:48:52.954
Endtime of export	134316858874540000	Thursday, August 20, 2026	16:51:27.454


Name	a	Name	b
SymbolComment	A coordinate.	SymbolComment	B coordinate.
Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.a	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

2980	0,012243295795185174	2980	-0,0098585970145049027
2990	-0,011130797358259715	2990	-0,02145147223074596
3000	0,0046468839554571718	3000	-0,00071279550936199627
3010	0,0022246052281657742	3010	0,0072505147860554477
3020	0,012817225649185275	3020	-0,01742083471499542
3030	-0,00028658981980126649	3030	0,00989591657753924
3040	-0,012031976304530017	3040	0,00075355006389805912
3050	-0,0021634359739348768	3050	0,0065257837547666652
3060	0,0033641664228655989	3060	0,0023754648600663305
3070	-0,0019858557406537852	3070	-0,0038327685228814658
3080	-0,0056606779526982192	3080	-0,002417448845080967
3090	0,0025756665828214217	3090	0,011681569808232642
3100	0,001920016530522732	3100	0,0030134786187973849
3110	-0,010570551184964673	3110	0,00217745171276625
3120	0,012840231370300794	3120	0,0012758156747529376
3130	-0,011620354784118768	3130	-0,0055504011483857862
3140	0,0027204241459886837	3140	0,0062012237063841747
3150	-0,02523903489726714	3150	-0,020411502886375429
3160	-0,011700914716449972	3160	0,016045862398700751
3170	0,010713942080155178	3170	0,0078140562883004389
3180	-0,0029935332370885819	3180	-0,0010258362196746171
3190	0,016161470371736975	3190	-0,0016783588608809317
3200	0,0066801438262683822	3200	0,006519889625885714
3210	0,0018410459040284133	3210	-0,0038254361495896443
3220	-0,010224493243079577	3220	0,0036278771599721803
3230	0,0018687573907724075	3230	-0,0083871184664955356
3240	-0,018259457442943255	3240	-0,004697428965481836
3250	-0,0024456439019837728	3250	-0,0051854979324087828
3260	-0,011630421829281238	3260	0,01108880953920522
3270	0,0036420928015174778	3270	0,0033542131312393167
3280	-0,01153388114874057	3280	0,0087643254416267212
3290	-0,012767862634847254	3290	-0,015412050531324507
3300	0,009674409597282458	3300	0,0022793669142489484
3310	-0,0099505147533030438	3310	-0,0058927088157331615
3320	0,0054382599175691994	3320	-0,00069910112364207915
3330	0,011366044287041912	3330	-0,011205530105626794
3340	0,0016974956653902037	3340	0,0045585682425509774
3350	0,00027615636142574686	3350	0,00022996870681964008
3360	-0,0017273005740937788	3360	0,00011161830779248039
3370	-0,015615527693323843	3370	-0,0074724649951077816
3380	-0,0030769390462775754	3380	-0,002139202079675862
3390	-0,0028842691303880025	3390	-0,0082161108533975648
3400	0,0047985900466847656	3400	0,0047443222455596764
3410	0,0052423923158324455	3410	0,0067140936854895479
3420	-0,0049607594184429161	3420	-0,0087310566900081332
3430	-0,013551461294191389	3430	0,0062704674057790536
3440	0,00988256194214327	3440	-0,00056540275870828479
3450	0,0088102885903407011	3450	0,0044329142792698829
3460	-0,00082189755931551137	3460	0,002069352792982114
3470	0,011254920221420307	3470	-0,0052264349359628041
3480	0,0017590299032829871	3480	0,00027322032462896023
3490	-0,00051639028975751608	3490	0,001085867463796719
3500	0,0067177392625741511	3500	-0,00060767103439361442
3510	-0,00022968822470275646	3510	0,00066369912131190542
3520	-0,0040900687550093082	3520	0,010221284208273923
3530	6,2959066570498888E-05	3530	-0,011054386480142753
3540	-0,00089185375128921613	3540	-0,0010294963686803544
3550	0,001141033814061624	3550	0,0026284213926779949
3560	0,0039862475086034875	3560	-0,0030963668370178532
3570	0,0048601021748078807	3570	0,0015686473923097026
3580	-0,00689588447493889	3580	-0,0037876590719011132
3590	-0,010832371191760332	3590	-0,010183815949205506
3600	-0,0096768877972405482	3600	0,017034145839549656
3610	0,0037774132414427519	3610	-0,0085228817503697381
3620	-0,000917968039640478	3620	0,0048846710888103845
3630	0,011144877162634376	3630	0,0040167996272540687
3640	0,025186451121245575	3640	-0,0050759124731741207
3650	-0,0096025117100156411	3650	0,0038983842050676789
3660	-0,0041579577549801378	3660	0,0043375546639936816
3670	-0,014391379301150011	3670	0,0056158849327591041
3680	-0,0055401606233187774	3680	0,00013155999281316361
3690	0,0031542306619326563	3690	-0,0060180490415226639
3700	0,010328484740849016	3700	-0,0033359728183838854
3710	0,0016516775780283091	3710	0,00079987455833547736
3720	-0,00039346668135334606	3720	0,01146752427215169
3730	0,014776416468127367	3730	-0,015043467891146942
3740	0,0081331195980408923	3740	-0,0015007281934967607
3750	0,0060883562808563517	3750	0,0029706349723593968
3760	-0,0043852280956912732	3760	-0,013798201594906282
3770	-0,00068159185607380446	3770	-0,002459316601696107
3780	-0,018382206778803832	3780	0,0091325162591588561
3790	-0,0039478306866522527	3790	0,014121577417117195
3800	0,01176211919562392	3800	-0,0077767953065788157
3810	-0,0051771063273094815	3810	0,0068201249679012551
3820	-0,0093304336167040064	3820	-0,006993132372572655
3830	-0,018495277120235111	3830	-0,0015587722819593365
3840	0,0014439360138052229	3840	0,015735041779040494
3850	0,00030477978118271192	3850	-0,0085480873267329352
3860	-0,0036234605833995372	3860	0,013059776769103989
3870	-0,010434302044808542	3870	-0,014882596230679127
3880	0,0058303953127369018	3880	0,005520796531502236
3890	0,003293851956666705	3890	0,008804571481432712
3900	-0,008943894881483375	3900	-0,0082845652252475019
3910	-0,0048447641025806606	3910	0,0045619286618390643
3920	0,0008328616248266563	3920	0,0055766460036839318
3930	0,013749832394636534	3930	-0,0062529175046486278
3940	-0,010190182089110057	3940	0,014173162358949372
3950	-0,010359067513720288	3950	-0,020355609910421658
3960	-0,0066401354070842094	3960	0,0034683100356832112
3970	-0,00596041062524983	3970	-0,00814791666485022
3980	-0,0053635456140292579	3980	-0,0012763105091062211
3990	0,00850453989166906	3990	0,0095506410303763337
4000	0,014449315843717243	4000	-0,011946555344946555
4010	-0,0058472715574210124	4010	-0,0019693402148814776
4020	-0,0010669291722081294	4020	-0,012165595923879096
4030	0,0070519976229995842	4030	-0,0007057178632826638
4040	0,001202835342491333	4040	-0,0018926727515868335
4050	7,465912969016699E-05	4050	0,0064829173953948908
4060	-0,0027805860911092562	4060	0,00722976016719694
4070	0,0020320886306086031	4070	-0,007530875231868692
4080	-0,0071404599226331539	4080	-0,0012686259435285769
4090	-0,0022710942877946093	4090	0,018806301090538328
4100	0,0064775169760697771	4100	-0,0051931062808161241
4110	0,002754545067649156	4110	-0,00077064232644235089
4120	0,026726652977679285	4120	0,012202823581221489
4130	-0,012947363913133734	4130	0,0021050724858377736
4140	-0,0041106825816330751	4140	-0,014553889659803415
4150	-0,00013852810202110328	4150	0,0074424156189801874
4160	-0,016274682667461043	4160	0,010763579740361814
4170	-0,00086142829560807786	4170	0,0071727590412999477
4180	0,00852237406492835	4180	-0,0085365621749107917
4190	0,0032109316462815007	4190	-0,011914089358504507
4200	0,0048589497920361732	4200	-0,0051264816533630724
4210	-0,00534065439433151	4210	0,0042108278854663559
4220	-0,0044708292863290125	4220	0,0015121854461135494
4230	-0,0012738292012753206	4230	0,010686120132420814
4240	-0,0059465276560074542	4240	0,0064190105168342275
4250	-0,0034559946067218316	4250	-0,017524564569336147
4260	-0,0073485876500844222	4260	0,0004100479717926312
4270	-0,0025483520532243531	4270	0,0038493691673699986
4280	-0,010057468348581906	4280	-0,0048991582307036175
4290	0,0075229198818050061	4290	-0,0070050243224253992
4300	-0,01366440724226491	4300	-0,010361541579077623
4310	0,0087104722008146049	4310	0,0097053504275139181
4320	-0,0030814407024674418	4320	-0,0022706794046602405
4330	0,01329026316760199	4330	0,0067623669226839515
4340	0,0069550141538544923	4340	0,0047262438666437487
4350	-0,0023192687226865809	4350	0,0024756181899477005
4360	0,014362304210912778	4360	2,3673945933701836E-05
4370	-0,01903645126726378	4370	0,0017148965615567571
4380	0,00041320819270858849	4380	-0,00034418897210127924
4390	-0,0058676008642752856	4390	0,0045218848438183445
